date,code,open,high,low,close,preclose,volume,amount
2015-01-05,sh.000300,3566.089,3669.042,3551.51,3641.541,3533.705,45119809800,519849817448.0
2015-01-06,sh.000300,3608.428,3683.226,3587.231,3641.059,3641.541,42096218500,498529588258.0
2015-01-07,sh.000300,3620.924,3671.19,3601.698,3643.79,3641.059,32019123200,398731720502.0
2015-01-08,sh.000300,3650.073,3659.945,3552.1,3559.259,3643.79,29500304500,355831967325.0
2015-01-09,sh.000300,3547.574,3689.753,3536.395,3546.723,3559.259,34998267200,430210592272.0
2015-01-12,sh.000300,3531.515,3560.527,3461.322,3513.576,3546.723,26656717500,334257133083.0
2015-01-13,sh.000300,3506.451,3550.158,3494.768,3514.04,3513.576,18715396500,250796676069.0
2015-01-14,sh.000300,3522.907,3547.242,3471.56,3502.423,3514.04,19601251000,241285837533.0
2015-01-15,sh.000300,3501.719,3604.121,3482.27,3604.121,3502.423,23781233800,303445351108.0
2015-01-16,sh.000300,3616.248,3662.158,3601.258,3635.146,3604.121,28268161400,355568710742.0
2015-01-19,sh.000300,3414.013,3497.252,3330.981,3355.155,3635.146,32950527500,366017532103.0
2015-01-20,sh.000300,3336.793,3419.204,3325.681,3396.222,3355.155,29784323200,381917903845.0
2015-01-21,sh.000300,3420.491,3557.794,3409.43,3548.885,3396.222,33792821000,425433704264.0
2015-01-22,sh.000300,3551.052,3576.756,3520.053,3567.613,3548.885,26885359900,345026040998.0
2015-01-23,sh.000300,3582.088,3627.806,3548.626,3571.732,3567.613,28017217200,361835546416.0
2015-01-26,sh.000300,3580.118,3611.617,3559.376,3607.985,3571.732,23976620300,309585710088.0
2015-01-27,sh.000300,3614.038,3616.258,3510.017,3574.931,3607.985,28766917900,357548249621.0
2015-01-28,sh.000300,3547.239,3583.312,3512.393,3525.323,3574.931,21622021400,278749164896.0
2015-01-29,sh.000300,3474.915,3505.582,3453.901,3481.798,3525.323,21161886000,251897926442.0
2015-01-30,sh.000300,3496.885,3514.217,3431.936,3434.39,3481.798,19647915700,237420793858.0
2015-02-02,sh.000300,3360.193,3407.256,3347.085,3353.96,3434.39,19518369900,224837769887.0
2015-02-03,sh.000300,3388.602,3441.709,3360.717,3437.445,3353.96,19284609600,241100023193.0
2015-02-04,sh.000300,3446.144,3476.817,3399.565,3401.768,3437.445,19130434900,244034297155.0
2015-02-05,sh.000300,3487.951,3487.951,3366.862,3366.946,3401.768,25043060900,311523669172.0
2015-02-06,sh.000300,3352.33,3374.051,3285.935,3312.42,3366.946,19266418600,221433183351.0
2015-02-09,sh.000300,3305.734,3376.526,3298.597,3345.921,3312.42,17235382000,220766525021.0
2015-02-10,sh.000300,3345.077,3407.18,3339.548,3406.943,3345.921,15930908800,199120680699.0
2015-02-11,sh.000300,3415.977,3445.655,3412.136,3434.124,3406.943,14461377200,185979219656.0
2015-02-12,sh.000300,3435.361,3453.582,3405.627,3442.874,3434.124,15608169100,191285873488.0
2015-02-13,sh.000300,3458.827,3509.505,3452.079,3469.828,3442.874,20108997100,247076153339.0
